simple-mmr,pvdbow-sktmdssim,75.96,45.35,55.87
simple-mmr,pvdbow-w2vmdssim,75.77,44.72,55.52
simple-mmr,pvdbow-w2vmdssim-sktmdssim,75.93,45.08,55.90
simple-mmr,pvdm,75.71,44.88,55.69
simple-mmr,pvdm-pvdbow,75.77,45.38,56.03
simple-mmr,pvdm-pvdbow-sktmdssim,76.03,46.43,56.65
simple-mmr,pvdm-pvdbow-w2vmdssim,75.75,45.42,56.04
simple-mmr,pvdm-pvdbow-w2vmdssim-sktmdssim,76.33,47.00,57.15
simple-mmr,pvdm-sktmdssim,75.99,45.33,56.05
simple-mmr,pvdm-w2vmdssim,75.75,44.90,55.73
simple-mmr,pvdm-w2vmdssim-sktmdssim,76.07,45.41,56.17
simple-mmr,sktmdssim,75.55,44.07,55.15
simple-mmr,trcomparer,76.92,47.11,57.24
simple-mmr,trcomparer-pvdbow,76.48,47.23,57.24
simple-mmr,trcomparer-pvdbow-sktmdssim,76.84,47.31,57.39
simple-mmr,trcomparer-pvdbow-w2vmdssim,76.39,46.61,56.87
simple-mmr,trcomparer-pvdbow-w2vmdssim-sktmdssim,76.62,47.14,57.19
simple-mmr,trcomparer-pvdm,76.00,46.55,56.79
simple-mmr,trcomparer-pvdm-pvdbow,76.33,46.53,56.64
simple-mmr,trcomparer-pvdm-pvdbow-sktmdssim,76.66,47.52,57.50
simple-mmr,trcomparer-pvdm-pvdbow-w2vmdssim,76.38,46.66,56.74
simple-mmr,trcomparer-pvdm-pvdbow-w2vmdssim-sktmdssim,76.20,47.11,57.27
simple-mmr,trcomparer-pvdm-sktmdssim,76.59,46.72,57.07
simple-mmr,trcomparer-pvdm-w2vmdssim,76.45,46.74,56.94
simple-mmr,trcomparer-pvdm-w2vmdssim-sktmdssim,76.49,46.96,57.13
simple-mmr,trcomparer-sktmdssim,76.92,47.19,57.30
simple-mmr,trcomparer-unigramtfidf,76.21,46.86,56.94
simple-mmr,trcomparer-unigramtfidf-pvdbow,76.46,47.29,57.22
simple-mmr,trcomparer-unigramtfidf-pvdbow-sktmdssim,76.39,47.15,57.12
simple-mmr,trcomparer-unigramtfidf-pvdbow-w2vmdssim,76.38,47.13,57.15
simple-mmr,trcomparer-unigramtfidf-pvdbow-w2vmdssim-sktmdssim,76.41,47.40,57.29
simple-mmr,trcomparer-unigramtfidf-pvdm,76.01,46.62,56.73
simple-mmr,trcomparer-unigramtfidf-pvdm-pvdbow,76.15,46.86,56.97
simple-mmr,trcomparer-unigramtfidf-pvdm-pvdbow-sktmdssim,76.30,47.27,57.15
simple-mmr,trcomparer-unigramtfidf-pvdm-pvdbow-w2vmdssim,76.43,47.43,57.36
simple-mmr,trcomparer-unigramtfidf-pvdm-pvdbow-w2vmdssim-sktmdssim,76.42,47.34,57.25
simple-mmr,trcomparer-unigramtfidf-pvdm-sktmdssim,76.40,47.25,57.22
simple-mmr,trcomparer-unigramtfidf-pvdm-w2vmdssim,76.12,46.73,56.88
simple-mmr,trcomparer-unigramtfidf-pvdm-w2vmdssim-sktmdssim,76.38,47.07,57.12
simple-mmr,trcomparer-unigramtfidf-sktmdssim,76.45,47.45,57.34
simple-mmr,trcomparer-unigramtfidf-w2vmdssim,76.29,47.11,57.11
simple-mmr,trcomparer-unigramtfidf-w2vmdssim-sktmdssim,76.48,47.11,57.16
simple-mmr,trcomparer-w2vmdssim,76.89,46.95,57.16
simple-mmr,trcomparer-w2vmdssim-sktmdssim,76.39,46.93,57.16
simple-mmr,unigramtfidf,75.98,46.91,56.91
simple-mmr,unigramtfidf-pvdbow,76.00,46.98,56.92
simple-mmr,unigramtfidf-pvdbow-sktmdssim,76.50,46.64,56.92
